iter	Passed	Remaining
455	956	1141
456	958	1139
457	962	1139
458	965	1137
459	967	1135
460	969	1133
461	972	1132
462	978	1134
463	995	1150
464	998	1148
465	1000	1146
466	1006	1148
467	1008	1146
468	1035	1172
469	1037	1169
470	1039	1167
471	1040	1164
472	1042	1161
473	1043	1158
474	1058	1169
475	1060	1167
476	1064	1167
477	1066	1165
478	1072	1166
479	1076	1166
480	1078	1163
481	1080	1161
482	1082	1158
483	1083	1155
484	1084	1152
485	1086	1149
486	1091	1149
487	1092	1146
488	1094	1143
489	1096	1141
490	1098	1138
491	1100	1135
492	1101	1132
493	1103	1130
494	1104	1127
495	1106	1123
496	1107	1120
497	1108	1117
498	1110	1114
499	1111	1111
500	1112	1108
501	1114	1105
502	1116	1102
503	1118	1100
504	1119	1097
505	1120	1094
506	1122	1091
507	1123	1088
508	1124	1085
509	1126	1082
510	1128	1079
511	1129	1076
512	1131	1074
513	1133	1071
514	1134	1068
515	1135	1065
516	1137	1062
517	1138	1059
518	1140	1056
519	1141	1053
520	1143	1050
521	1144	1048
522	1146	1045
523	1147	1042
524	1149	1039
525	1150	1036
526	1152	1034
527	1154	1031
528	1155	1028
529	1156	1025
530	1158	1023
531	1160	1020
532	1161	1017
533	1163	1015
534	1164	1012
535	1166	1009
536	1167	1006
537	1168	1003
538	1170	1000
539	1171	997
540	1173	995
541	1175	992
542	1176	990
543	1178	987
544	1179	985
545	1181	982
546	1183	979
547	1184	977
548	1186	974
549	1188	972
550	1189	969
551	1191	967
552	1193	964
553	1194	961
554	1195	958
555	1196	955
556	1198	952
557	1199	950
558	1201	947
559	1202	945
560	1224	958
561	1226	955
562	1229	954
563	1231	952
564	1234	950
565	1236	948
566	1238	945
567	1239	943
568	1241	940
569	1242	937
570	1244	934
571	1245	931
572	1247	929
573	1249	927
574	1250	924
575	1252	921
576	1253	918
577	1254	916
578	1255	913
579	1257	910
580	1258	907
581	1260	905
582	1262	903
583	1264	900
584	1265	897
585	1267	895
586	1268	892
587	1269	889
588	1271	886
589	1272	884
590	1274	881
591	1277	880
592	1279	878
593	1280	875
594	1281	872
595	1283	869
596	1284	867
597	1285	864
598	1287	861
599	1288	859
600	1290	857
601	1292	854
602	1293	851
603	1295	849
604	1296	846
605	1297	843
606	1299	841
607	1300	838
608	1302	836
609	1303	833
610	1305	831
611	1307	828
612	1308	826
613	1310	823
614	1311	821
615	1313	818
616	1314	815
617	1315	813
618	1317	810
619	1319	808
620	1320	806
621	1322	803
622	1323	800
623	1325	798
624	1326	795
625	1327	793
626	1329	790
627	1330	788
628	1331	785
629	1333	783
630	1335	780
631	1336	778
632	1338	775
633	1339	773
634	1341	770
635	1342	768
636	1343	765
637	1345	763
638	1347	761
639	1349	759
640	1351	757
641	1353	754
642	1354	751
643	1355	749
644	1357	746
645	1358	744
646	1359	741
647	1361	739
648	1363	737
649	1365	735
650	1367	733
651	1369	730
652	1371	728
653	1373	726
654	1378	726
655	1380	724
656	1382	721
657	1385	720
658	1387	718
659	1391	716
660	1393	714
661	1394	711
662	1395	709
663	1397	707
664	1398	704
665	1399	701
666	1401	699
667	1402	697
668	1403	694
669	1406	692
670	1407	690
671	1409	687
672	1410	685
673	1411	682
674	1413	680
675	1414	677
676	1415	675
677	1417	673
678	1419	670
679	1420	668
680	1422	666
681	1423	663
682	1425	661
683	1426	658
684	1427	656
685	1429	654
686	1430	651
687	1432	649
688	1434	647
689	1436	645
690	1437	642
691	1439	640
692	1440	638
693	1441	635
694	1443	633
695	1444	631
696	1446	628
697	1447	626
698	1449	624
699	1451	621
700	1452	619
701	1453	617
702	1455	614
703	1456	612
704	1458	610
705	1460	608
706	1462	605
707	1463	603
708	1464	601
709	1466	598
710	1467	596
711	1469	594
712	1470	592
713	1472	589
714	1473	587
715	1475	585
716	1477	583
717	1478	580
718	1479	578
719	1481	576
720	1483	573
721	1484	571
722	1486	569
723	1487	566
724	1489	564
725	1491	562
726	1493	560
727	1494	558
728	1496	556
729	1497	553
730	1498	551
731	1499	549
732	1501	546
733	1503	544
734	1505	542
735	1506	540
736	1509	538
737	1511	536
738	1512	534
739	1513	531
740	1514	529
741	1516	527
742	1518	525
743	1519	522
744	1521	520
745	1522	518
746	1524	516
747	1525	513
748	1526	511
749	1528	509
750	1529	507
751	1531	505
752	1533	503
753	1534	500
754	1536	498
755	1537	496
756	1538	493
757	1540	491
758	1541	489
759	1542	487
760	1544	485
761	1546	483
762	1548	480
763	1550	478
764	1552	476
765	1553	474
766	1554	472
767	1555	470
768	1557	467
769	1558	465
770	1560	463
771	1562	461
772	1563	459
773	1564	456
774	1566	454
775	1567	452
776	1568	450
777	1570	448
778	1571	445
779	1574	443
780	1575	441
781	1576	439
782	1578	437
783	1579	435
784	1580	432
785	1582	430
786	1583	428
787	1584	426
788	1586	424
789	1588	422
790	1589	420
791	1591	417
792	1592	415
793	1594	413
794	1595	411
795	1596	409
796	1597	407
797	1599	404
798	1601	402
799	1603	400
800	1604	398
801	1605	396
802	1606	394
803	1608	392
804	1609	389
